title,address,description,date,seller,price,image
2 bedroom flat for sale,"Watermarque, 100 Browning Street, Birmingham, West Midlands, B16","**RARE OPPORTUNITY** This outstanding two bedroom duplex apartment in the prestigious Watermarque development on Browning Street is being offered for sale with no upward chain. The luxury apartment benefits from a large entrance hall, guest WC, contemporary open plan lounge, kitchen and dining ar...",18/11/2019,"Dixons, Birmingham City Centre","£495,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/75k/74974/75563476/74974_BCC190253_IMG_01_0000_max_476x317.jpg
3 bedroom semi-detached house for sale,"2K Greenfield Road, Harborne, Birmingham, B17","3 bedroom town house for sale in Harborne, B17A beautifully presented modern four-storey town house with gated access and private parking.There is secure gated access with pedestrian doors leading onto both Greenfield Road and the High Street making the development perfect for young families....",22/04/2019,"Knight Frank, Birmingham","£495,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/188k/187751/71298613/187751_BRM190054_IMG_01_0002_max_476x317.jpg
3 bedroom semi-detached house for sale,"Monmouth Drive, Sutton Coldfield","A deceptively spacious very grand three bedroom semi-detached family home located Monmouth Drive. With views over Boldmere Golf course, which is not overlooked to the front, this well respected location is close to local shops, bars & restaurants in Boldmere and Sutton Coldfield, excellent sc...",27/11/2019,"Acres, Sutton Coldfield","£495,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/58k/57724/86985113/57724_102994005060_IMG_01_0000_max_476x317.jpg
4 bedroom detached house for sale,"Coleshill Road, Water Orton","***NEW INSTRUCTION ***Waters & Co are pleased to present this executive detached residence standing in a large private corner plot with potential to extend (subject to planning consent). The property briefly comprises: two reception rooms, kitchen/diner, downstairs w.c., utility, four bedroo (cont.)",11/11/2019,"Waters & Co. , Birmingham","£495,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/23k/22190/86496107/22190_WAT1001982_IMG_01_0000_max_476x317.jpg
3 bedroom end of terrace house for sale,"Carless Avenue, Harborne, Birmingham, B17 9EQ",We are pleased to offer this outstanding 3 bedroom end terraced house which is in a prime location within only a few minutes walk from Harborne High Street and on the highly desirable Moor Pool estate...,16/01/2019,"Wentworth & Rose , Harborne","£490,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92029/78613457/92029_480444_IMG_01_0000_max_476x317.jpg
2 bedroom flat for sale,"Assay Lofts, Charlotte St, Jewellery Quarter, Birmingham City Centre, B3","LAST REMAINING PROPERTY - DON'T MISS OUT! *READY FOR OCCUPATION DEC 2019* SPACIOUS ground floor DUPLEX apartment, three large bay windows, open plan lounge & kitchen in excess of 30ft, PARKING available, overlooking Charlotte St with views towards St Paul's Square. Close to Birmingham's fina...",06/10/2019,"Knight Frank - New Homes, Birmingham","£490,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/41k/40862/74575117/40862_BRD190519_IMG_01_0002_max_476x317.jpg
3 bedroom semi-detached house for sale,"Boldmere Road, Sutton Coldfield","Situated in a lovely position on the corner of Boldmere Road and Church Road, we have a very rare and incredible opportunity to purchase a large period style property within a large plot offering the potential to build to the side or rear. The house benefits from part double glazing and gas cent...",06/08/2019,"Acres, Wylde Green","£490,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/58k/57718/73369552/57718_102994004240_IMG_01_0000_max_476x317.jpg
3 bedroom duplex for sale,"Wharfside Street, Birmingham, B1",Huge Duplex Apartment * Two secure parking spaces * Central * On canal network * Near to New Street train station * Bars and restaurants * 3 double bedrooms * 2 bathrooms * Massive lounge area * Balcony * Secure entry system * Electric heating * Two secure parking spaces * ,18/11/2019,"Leary and Co Ltd, Birmingham","£490,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102947/64547904/102947_764467_IMG_00_0000_max_476x317.jpg
6 bedroom semi-detached house for sale,"Radnor Road, Handsworth, Birmingham, B20 3SR",***GREAT LOCATION***6 DOUBLE BEDROOMS***3 RECEPTION ROOMS***EN-SUITE WETROOM***FAMILY BATHROOM***FITTED KITCHEN***GUEST WC***LARGER THAN AVERAGE***SEMI DETACHED***PERIOD PROPERTY***PERIOD FEATURES***OFF ROAD PARKING***LARGE MATURE GARDEN***,27/08/2019,"Hunters, Handsworth","£490,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87380/64670199/87380_HANSP201353_IMG_01_0000_max_476x317.jpg
3 bedroom flat for sale,"The Bank Tower 2, Broad Street, Birmingham City Centre, West Midlands, B15","**HELP TO BUY AVAILABLE** **SHOW APARTMENT OPEN** With luxurious finishes throughout, spacious layouts and breath-taking views, The Bank is set to be Birmingham's most desirable place to live. **SHOW APARTMENT AVAILABLE TO VIEW - CONTACT US TO BOOK YOUR APPOINTMENT** Standi...",31/05/2019,"Knight Frank - New Homes, Birmingham","£487,900",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/41k/40862/62680230/40862_BRD180380_IMG_01_0000_max_476x317.jpg
