title,address,description,date,seller,price,image
1 bedroom flat for sale,"Slough,Berkshire,SL1","Situated in close proximity to Slough town centre, mainline station and M4 junction 6 is this modern one bedroom apartment. No onwards chain.",10/12/2019,"Chancellors, Slough","£180,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145253/85335011/145253_3206299_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"Bridlington Spur, Slough, Berkshire","The Express Estate Agency is proud to offer this One Bedroom Apartment – all interest and OFFERS are INVITED. **GUIDE PRICE - £180,000 - £200,000** INTERNAL Entrance Hallway - With two storage cupboards. Reception Room - Lounge offering s...",25/04/2019,"Express Estate Agency, Nationwide","£180,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61544/69834943/61544_4725513_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"Slough,Berkshire,SL1",A well presented one bedroom apartment in this sought after purpose built development in Slough which would make an ideal investment or first time buy,11/11/2019,"Chancellors, Slough","£180,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145253/80849951/145253_2955365_IMG_19_0000_max_476x317.jpg
4 bedroom detached house for sale,Burnham,"A Stunning Detached Four Bedroom Family Home! Featuring a beautiful open plan kitchen through breakfast room, a lounge through dining area, utility room, cloakroom, two bathrooms, driveway parking and four great sized bedrooms! This rarely available property is a must view!!",14/08/2019,"Glenn Flegg & Company, Burnham, Slough","£650,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12463/73534063/12463_GFBSA_546197_IMG_01_0000_max_476x317.jpg
1 bedroom maisonette for sale,"Holmedale, Wexham, Slough","IDEAL INVESTMENT/FIRST PURCHASE - NO ONWARD CHAIN Situated just off the Uxbridge Road, in a desirable location, is this one bedroom ground floor flat. Well presented throughout the property benefits from lounge with fully fitted kitchen, double glazing, gas central heating, one allocated park...",06/12/2019,"B Simmons & Son, Slough","£180,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8328/87257078/8328_29319222_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"Bridgewater Court, Common Road, Langley, SL3","A 1 bedroom first floor flat which enjoys a pleasant outlook overlooking a park, security entry phone system, double glazed windows as well as allocated parking and visitors spaces. Well kept communal lawns. Conveniently positioned for access to Langley High Street with its train station and ame...",27/09/2019,"The Frost Partnership, Langley","£180,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/5k/4670/73445305/4670_359443_IMG_01_0000_max_476x317.jpg
Studio flat for sale,"Mountbatten Close, Slough","Large ground floor Studio Flat in Upton, Slough.Ideal first purchase or investment property - Very long lease (950yrs+) Large ground floor Studio flat in Upton, Slough. Walking distance to High Street, Station and Local Parks. Near Datchet and Windsor. Separate kitchen. Bathroom with bath and ...",25/07/2017,"Doorsteps.co.uk, National","£179,995",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152222/67911218/152222_8050612_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"Osborne Mews, Victoria Street, Slough, SL1","A one bedroom first floor apartment situated within walking distance of Slough Town Centre and station (Crossrail due 2021). The property has the added attractions of a renewed lease, residents permit parking, a refitted kitchen and shower room. An ideal investment purchase or first time buy.",11/12/2019,"The Frost Partnership, Slough","£179,950",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8831/66991584/8831_369957_IMG_01_0000_max_476x317.jpg
1 bedroom maisonette for sale,"Thorndike, Slough, SL2","A spacious one bedroom ground floor maisonette which requires some updating. Offering good room sizes and storage facilities, it also provides gas radiator heating and double glazing. To the rear are large communal gardens and a useful storage shed. The property which offers a good lease with ...",26/06/2019,"The Frost Partnership, Slough","£179,950",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8831/63306915/8831_358197_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"Fieldview Court, Farnburn Avenue, Slough","CLOSE TO LOCAL SHOPS A modern, well presented one bedroom second floor apartment. The property is close to local shops and benefits from a modern fitted kitchen, bathroom, underfloor heating, uPVC double glazing and ample secure residents permit parking. Within walking distance to Hersch...",06/09/2019,"B Simmons & Son, Slough","£179,950",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/9k/8328/81958058/8328_28794529_IMG_01_0000_max_476x317.jpg
